gene_a,gene_b,combined_score
DVL2,FZD3,882
DVL2,CELSR1,784
DVL2,ITCH,762
CD74,EIF5A2,765
CD74,RPS4X,869
CD74,HLA-DQB1,997
CD74,POLR2B,770
CD74,MRPL17,971
CD74,RPS6,978
CD74,ISG15,714
CD74,HLA-DMA,994
CD74,IMP3,938
CD74,NOP58,798
CD74,HLA-DQA1,994
CD74,MRTO4,888
CD74,HLA-DRB1,995
CD74,RPS18,982
CD74,BYSL,837
CD74,CTSB,954
CD74,CCL5,713
CD74,MRPL1,834
CD74,HLA-DMB,982
CD74,HLA-DOB,975
CD74,EIF5A,766
CD74,HLA-DRB5,986
CD74,CTSL,993
CD74,B2M,808
CD74,LTV1,795
CD74,MPHOSPH10,829
CD74,RPL3,937
CD74,HLA-DRA,999
CD74,HMGN2,817
CD74,RPL39L,931
TSPAN9,CD9,761
MRI1,ENOPH1,975
TARBP1,CCT4,842
SLC2A3,SLC2A14,868
TBX21,NCR1,749
TBX21,IL27RA,799
TBX21,IFNG,964
TBX21,STAT5B,727
TBX21,BATF,723
TBX21,CD8A,944
TBX21,CD19,714
TBX21,PRF1,872
TBX21,CD2,725
TBX21,ICOS,775
TBX21,TXK,762
TBX21,KLRG1,835
TBX21,LAG3,746
TBX21,TIGIT,735
TBX21,GZMB,918
TBX21,IL2RA,841
TBX21,FASLG,789
TBX21,GZMA,770
TBX21,IRF8,716
TBX21,ETS1,876
TBX21,CXCR3,831
TBX21,IL2,868
TBX21,KLRB1,701
TBX21,PDCD1,700
TBX21,IL1B,782
TBX21,TNF,838
TBX21,CD69,757
TBX21,CTLA4,822
TBX21,IL6,829
TBX21,KLRD1,772
TBX21,CD27,773
TBX21,CXCL10,736
TBX21,GATA3,997
TBX21,IL2RB,813
ACTR6,RUVBL1,999
NME8,CASS4,814
NME8,TXN,747
NME8,MS4A6A,731
NME8,WDR78,773
LAG3,PDCD1,950
LAG3,SNCA,906
LAG3,CD69,713
LAG3,CTLA4,965
LAG3,CD160,830
LAG3,CXCR3,803
LAG3,IL2,744
LAG3,TNFRSF9,799
LAG3,GZMA,805
LAG3,IDO1,825
LAG3,TBX21,746
LAG3,CCL4,735
LAG3,MTUS1,724
LAG3,CD96,765
LAG3,CD27,775
LAG3,HLA-DRB1,750
LAG3,EOMES,703
LAG3,TNFSF4,713
