gene_a,gene_b,combined_score
DVL2,FZD3,882
DVL2,CCDC88C,814
DVL2,CELSR1,784
DVL2,ITCH,762
DVL2,DAAM1,978
OSBPL7,VAPA,759
CRY1,BHLHE40,969
CRY1,CRY2,999
CRY1,NR3C1,914
CRY1,RORB,922
CRY1,BHLHE41,978
CRY1,RORA,935
CRY1,VIPR2,743
CRY1,DET1,743
CD74,EIF5A2,765
CD74,HLA-DPB1,982
CD74,POLR2C,877
CD74,RPS4X,869
CD74,HLA-DQB1,997
CD74,POLR2B,770
CD74,MRPL17,971
CD74,MRPS6,969
CD74,RPS6,978
CD74,ISG15,714
CD74,HLA-DMA,994
CD74,IMP3,938
CD74,NOP58,798
CD74,HLA-DQA1,994
CD74,MRTO4,888
CD74,HLA-DRB1,995
CD74,MRPS16,970
CD74,MRPL49,769
CD74,RPS18,982
CD74,BYSL,837
CD74,NGDN,790
CD74,CTSB,954
CD74,CCL5,713
CD74,MRPL1,834
CD74,UTP3,785
CD74,HLA-DMB,982
CD74,WDR36,778
CD74,HLA-DOB,975
CD74,EIF5A,766
CD74,HLA-DRB5,986
CD74,CTSL,993
CD74,B2M,808
CD74,HLA-DPA1,993
CD74,POLR3A,808
CD74,MRPL34,772
CD74,EIF5B,908
CD74,LTV1,795
CD74,MPHOSPH10,829
CD74,RPL3,937
CD74,NOL10,781
CD74,HLA-DRA,999
CD74,HMGN2,817
CD74,RPL39L,931
TSPAN9,CD9,761
MRI1,ADI1,909
MRI1,ENOPH1,975
TARBP1,GTPBP8,708
TARBP1,CCT4,842
TNFRSF17,CD70,721
TNFRSF17,CD19,765
TNFRSF17,CD40LG,893
TNFRSF17,TNFRSF13B,975
TNFRSF17,CD79A,793
TNFRSF17,TNFSF13B,999
TNFRSF17,CD38,773
TNFRSF17,IGLL5,746
TNFRSF17,CD27,825
TNFRSF17,MZB1,999
SLC2A3,SLC2A14,868
PIGB,PIGH,854
PIGB,ALG3,888
ST6GAL1,FUT8,736
SCT,GIPR,836
SCT,GNAS,928
SCT,GNG2,895
SCT,VIPR2,867
TBX21,NCR1,749
TBX21,IL27RA,799
TBX21,IFNG,964
TBX21,STAT5B,727
TBX21,BATF,723
TBX21,CD8A,944
TBX21,STAT4,908
TBX21,CD19,714
TBX21,PRF1,872
TBX21,CD2,725
TBX21,MAF,745
TBX21,IL7R,794
TBX21,ICOS,775
TBX21,TXK,762
TBX21,KLRG1,835
TBX21,LAG3,746
TBX21,TIGIT,735
TBX21,GZMB,918
TBX21,IL2RA,841
TBX21,FASLG,789
TBX21,GZMA,770
TBX21,IL12RB2,881
TBX21,IRF8,716
TBX21,ETS1,876
TBX21,CXCR3,831
TBX21,IL2,868
TBX21,KLRB1,701
TBX21,PDCD1,700
TBX21,IL1B,782
TBX21,TNF,838
TBX21,CD69,757
TBX21,CTLA4,822
TBX21,STAT1,846
TBX21,IL6,829
TBX21,KLRD1,772
TBX21,CD27,773
TBX21,STAT3,789
TBX21,CXCL10,736
TBX21,GATA3,997
TBX21,IL2RB,813
ACTR6,RUVBL1,999
ACTR6,YEATS4,886
DIMT1,MPHOSPH10,951
DIMT1,LTV1,989
DIMT1,PWP1,715
DIMT1,BRIX1,941
DIMT1,UTP3,970
DIMT1,WDR36,983
DIMT1,MRTO4,878
DIMT1,NOP58,946
DIMT1,IMP3,972
DIMT1,RPS18,935
DIMT1,BYSL,999
DIMT1,DDX55,797
DIMT1,PNO1,972
DIMT1,RPS4X,884
DIMT1,RPS6,943
EIF2AK1,IFIT1,903
NME8,RPGR,720
NME8,CASS4,814
NME8,TXN,747
NME8,MS4A6A,731
NME8,WDR78,773
NME8,DYNLT3,800
LAG3,PDCD1,950
LAG3,SNCA,906
LAG3,CD69,713
LAG3,CTLA4,965
LAG3,CD160,830
LAG3,CXCR3,803
LAG3,IL2,744
LAG3,TNFRSF9,799
LAG3,GZMA,805
LAG3,IDO1,825
LAG3,TBX21,746
LAG3,CCL4,735
LAG3,MTUS1,724
LAG3,CD96,765
LAG3,CD27,775
LAG3,HLA-DRB1,750
LAG3,EOMES,703
LAG3,TNFSF4,713
LAG3,PRF1,816
LAG3,CD244,723
LAG3,HLA-DPA1,712
LAG3,IFNG,877
LAG3,GNLY,786
LAG3,NKG7,807
LAG3,TNFRSF18,786
LAG3,CD8A,947
LAG3,HLA-DRA,856
LAG3,GZMB,930
LAG3,FASLG,768
LAG3,TNFRSF4,797
LAG3,GZMH,731
LAG3,LGALS3,990
LAG3,KLRG1,741
LAG3,TIGIT,955
LAG3,ICOS,807
LAG3,GZMK,701
RGS17,ARHGEF1,791
KLHL20,ENC1,913
KLHL20,KLHL24,753
KLHL20,KLHL42,924
KLHL20,KBTBD7,910
TGFBR3,TGFB3,993
STX1B,SNAP47,817
STX1B,STX8,738
STX1B,UNC13B,862
STX1B,STX1A,814
GADD45B,GADD45G,955
GADD45B,GADD45A,965
GADD45B,PCNA,912
GADD45B,JUN,702
MMP11,MMP7,750
OSM,JAK2,919
OSM,IL1B,749
OSM,TNF,718
OSM,STAT5B,726
OSM,IL11,936
OSM,IL12RB2,712
OSM,IL11RA,874
OSM,IL27RA,841
OSM,PDGFRB,721
OSM,IL2RA,711
OSM,EPOR,823
OSM,STAT3,911
OSM,JAK1,907
OSM,IL6,963
OSM,IL7R,805
HSCB,GRPEL1,862
HSCB,ETFA,768
HSCB,OSBP2,810
HSCB,ISCA1,847
HMOX1,CASP3,806
HMOX1,ACTB,785
HMOX1,FTL,777
HMOX1,TXNIP,859
HMOX1,BCL2,856
HMOX1,NOS3,770
HMOX1,TNF,792
HMOX1,IL1B,817
HMOX1,IL6,810
HMOX1,JUN,798
HMOX1,CYCS,827
HMOX1,STAT3,849
HMOX1,EDN1,735
HMOX1,TXN,774
HMOX1,STX1A,738
HMOX1,SOD2,743
HMOX1,GSR,761
HMOX1,FECH,963
NIPSNAP1,GABARAPL1,726
NIPSNAP1,NBR1,776
TAB1,SYNGR1,783
TAB1,BIRC3,845
TAB1,ZMYND11,808
TAB1,MAP3K1,757
TAB1,PELI3,706
TAB1,IRAK4,971
TAB1,TNF,998
PVALB,GRIN2C,707
IL2RB,NKG7,768
IL2RB,CCL5,737
IL2RB,GNLY,848
IL2RB,NCR1,700
IL2RB,IFNG,934
IL2RB,CSF2,840
