Week 4 LFC Beta Sweep Training Log
================================================================================
Sweep betas: [0.01, 0.05, 0.1, 0.2, 0.5]
Best beta: 0.5
Best val r: 0.8571
Test r: 0.8729 +/- 0.0632
JAK-STAT: 0/15

Sweep Results:
  beta=0.010 | val_r=0.8568 | epoch=19 | jakstat=0/15 | time=234s
  beta=0.050 | val_r=0.8568 | epoch=19 | jakstat=0/15 | time=239s
  beta=0.100 | val_r=0.8570 | epoch=55 | jakstat=0/15 | time=261s
  beta=0.200 | val_r=0.8569 | epoch=56 | jakstat=0/15 | time=261s
  beta=0.500 | val_r=0.8571 | epoch=42 | jakstat=0/15 | time=282s

Epoch-level log:
  beta=0.010 E  1 | MSE=0.0215 LFC=340.1684 Cos=0.1960 Total=0.0411 | val_r=0.8041
  beta=0.010 E  2 | MSE=0.0189 LFC=363.2071 Cos=0.1819 Total=0.0371 | val_r=0.8321
  beta=0.010 E  3 | MSE=0.0391 LFC=359.6320 Cos=0.1924 Total=0.0583 | val_r=0.8092
  beta=0.010 E  4 | MSE=0.0207 LFC=369.8683 Cos=0.1991 Total=0.0406 | val_r=0.8077
  beta=0.010 E  5 | MSE=0.0190 LFC=350.6700 Cos=0.1819 Total=0.0372 | val_r=0.8274
  beta=0.010 E  6 | MSE=0.0188 LFC=336.9151 Cos=0.1759 Total=0.0363 | val_r=0.8175
  beta=0.010 E  7 | MSE=0.0181 LFC=369.7771 Cos=0.1812 Total=0.0362 | val_r=0.8227
  beta=0.010 E  8 | MSE=0.0167 LFC=348.9336 Cos=0.1661 Total=0.0333 | val_r=0.8373
  beta=0.010 E  9 | MSE=0.0162 LFC=329.1279 Cos=0.1594 Total=0.0321 | val_r=0.8391
  beta=0.010 E 10 | MSE=0.0157 LFC=353.1361 Cos=0.1573 Total=0.0315 | val_r=0.8379
  beta=0.010 E 11 | MSE=0.0152 LFC=331.1098 Cos=0.1492 Total=0.0301 | val_r=0.8532
  beta=0.010 E 12 | MSE=0.0152 LFC=277.3873 Cos=0.1447 Total=0.0297 | val_r=0.8470
  beta=0.010 E 13 | MSE=0.0143 LFC=302.4410 Cos=0.1390 Total=0.0282 | val_r=0.8548
  beta=0.010 E 14 | MSE=0.0133 LFC=248.4763 Cos=0.1302 Total=0.0263 | val_r=0.8530
  beta=0.010 E 15 | MSE=0.0133 LFC=262.0056 Cos=0.1289 Total=0.0262 | val_r=0.8564
  beta=0.010 E 16 | MSE=0.0131 LFC=271.2546 Cos=0.1297 Total=0.0261 | val_r=0.8564
  beta=0.010 E 17 | MSE=0.0132 LFC=234.3917 Cos=0.1273 Total=0.0260 | val_r=0.8565
  beta=0.010 E 18 | MSE=0.0128 LFC=238.4665 Cos=0.1248 Total=0.0252 | val_r=0.8565
  beta=0.010 E 19 | MSE=0.0130 LFC=241.3261 Cos=0.1261 Total=0.0257 | val_r=0.8568
  beta=0.010 E 20 | MSE=0.0130 LFC=223.5326 Cos=0.1250 Total=0.0256 | val_r=0.8552
  beta=0.010 E 21 | MSE=0.0129 LFC=264.2185 Cos=0.1269 Total=0.0256 | val_r=0.8560
  beta=0.010 E 22 | MSE=0.0125 LFC=227.1762 Cos=0.1215 Total=0.0246 | val_r=0.8546
  beta=0.010 E 23 | MSE=0.0129 LFC=252.4536 Cos=0.1249 Total=0.0254 | val_r=0.8560
  beta=0.010 E 24 | MSE=0.0134 LFC=247.9872 Cos=0.1295 Total=0.0263 | val_r=0.8541
  beta=0.010 E 25 | MSE=0.0129 LFC=223.5203 Cos=0.1263 Total=0.0255 | val_r=0.8561
  beta=0.010 E 26 | MSE=0.0129 LFC=230.3760 Cos=0.1247 Total=0.0253 | val_r=0.8560
  beta=0.010 E 27 | MSE=0.0124 LFC=200.6840 Cos=0.1191 Total=0.0243 | val_r=0.8560
  beta=0.010 E 28 | MSE=0.0131 LFC=221.7173 Cos=0.1264 Total=0.0257 | val_r=0.8563
  beta=0.010 E 29 | MSE=0.0128 LFC=223.4223 Cos=0.1237 Total=0.0251 | val_r=0.8563
  beta=0.010 E 30 | MSE=0.0128 LFC=217.9217 Cos=0.1240 Total=0.0252 | val_r=0.8560
  beta=0.010 E 31 | MSE=0.0139 LFC=205.2808 Cos=0.1313 Total=0.0681 | val_r=0.8554
  beta=0.010 E 32 | MSE=0.0136 LFC=291.1831 Cos=0.1329 Total=0.1434 | val_r=0.8375
  beta=0.010 E 33 | MSE=0.0159 LFC=359.8758 Cos=0.1609 Total=0.2479 | val_r=0.8378
  beta=0.010 E 34 | MSE=0.0193 LFC=294.6221 Cos=0.1615 Total=0.2712 | val_r=0.8559
  beta=0.010 E 35 | MSE=0.0303 LFC=222.0704 Cos=0.1965 Total=0.2721 | val_r=0.8541
  beta=0.010 E 36 | MSE=0.0155 LFC=307.7453 Cos=0.1493 Total=0.3997 | val_r=0.8468
  beta=0.010 E 37 | MSE=0.0135 LFC=324.0075 Cos=0.1382 Total=0.4809 | val_r=0.8557
  beta=0.010 E 38 | MSE=0.0162 LFC=224.8173 Cos=0.1502 Total=0.3909 | val_r=0.8564
  beta=0.010 E 39 | MSE=0.0139 LFC=222.7552 Cos=0.1341 Total=0.4283 | val_r=0.8566
  beta=0.010 E 40 | MSE=0.0174 LFC=202.0180 Cos=0.1587 Total=0.4373 | val_r=0.8559
  beta=0.010 E 41 | MSE=0.0139 LFC=263.8942 Cos=0.1357 Total=0.6081 | val_r=0.8470
  beta=0.010 E 42 | MSE=0.0137 LFC=310.7232 Cos=0.1347 Total=0.7729 | val_r=0.8559
  beta=0.010 E 43 | MSE=0.0190 LFC=204.8475 Cos=0.1676 Total=0.5684 | val_r=0.8559
  beta=0.010 E 44 | MSE=0.0158 LFC=199.2799 Cos=0.1466 Total=0.5885 | val_r=0.8559
  beta=0.010 E 45 | MSE=0.0136 LFC=255.3784 Cos=0.1328 Total=0.7930 | val_r=0.8461
  beta=0.010 E 46 | MSE=0.0144 LFC=334.3601 Cos=0.1459 Total=1.0989 | val_r=0.8470
  beta=0.010 E 47 | MSE=0.0145 LFC=293.1470 Cos=0.1396 Total=1.0252 | val_r=0.8560
  beta=0.010 E 48 | MSE=0.0167 LFC=196.1356 Cos=0.1548 Total=0.7382 | val_r=0.8560
  beta=0.010 E 49 | MSE=0.0133 LFC=224.6194 Cos=0.1290 Total=0.8797 | val_r=0.8529
  beta=0.010 E 50 | MSE=0.0138 LFC=300.5551 Cos=0.1358 Total=1.2296 | val_r=0.8500
  beta=0.010 E 51 | MSE=0.0136 LFC=292.9889 Cos=0.1316 Total=1.2573 | val_r=0.8558
  beta=0.010 E 52 | MSE=0.0174 LFC=213.2772 Cos=0.1589 Total=0.9717 | val_r=0.8559
  beta=0.010 E 53 | MSE=0.0182 LFC=207.1089 Cos=0.1621 Total=0.9871 | val_r=0.8551
  beta=0.010 E 54 | MSE=0.0140 LFC=287.8243 Cos=0.1372 Total=1.4093 | val_r=0.8468
  beta=0.010 E 55 | MSE=0.0139 LFC=315.2454 Cos=0.1360 Total=1.6037 | val_r=0.8543
  beta=0.010 E 56 | MSE=0.0138 LFC=284.6606 Cos=0.1331 Total=1.5073 | val_r=0.8518
  beta=0.010 E 57 | MSE=0.0139 LFC=285.0704 Cos=0.1343 Total=1.5667 | val_r=0.8560
  beta=0.010 E 58 | MSE=0.0138 LFC=182.7864 Cos=0.1325 Total=1.0506 | val_r=0.8560
  beta=0.010 E 59 | MSE=0.0126 LFC=225.2419 Cos=0.1226 Total=1.3313 | val_r=0.8556
  beta=0.010 E 60 | MSE=0.0132 LFC=276.9197 Cos=0.1297 Total=1.6877 | val_r=0.8491
  beta=0.010 E 61 | MSE=0.0138 LFC=319.0102 Cos=0.1374 Total=2.0054 | val_r=0.8525
  beta=0.010 E 62 | MSE=0.0135 LFC=260.3563 Cos=0.1302 Total=1.6928 | val_r=0.8558
  beta=0.010 E 63 | MSE=0.0127 LFC=228.9331 Cos=0.1238 Total=1.5360 | val_r=0.8560
  beta=0.010 E 64 | MSE=0.0137 LFC=214.7892 Cos=0.1308 Total=1.4873 | val_r=0.8560
  beta=0.010 E 65 | MSE=0.0138 LFC=206.5771 Cos=0.1328 Total=1.4731 | val_r=0.8560
  beta=0.010 E 66 | MSE=0.0139 LFC=180.0809 Cos=0.1345 Total=1.3239 | val_r=0.8559
  beta=0.010 E 67 | MSE=0.0131 LFC=185.9122 Cos=0.1281 Total=1.4016 | val_r=0.8560
  beta=0.010 E 68 | MSE=0.0150 LFC=201.3972 Cos=0.1417 Total=1.5598 | val_r=0.8558
  beta=0.010 E 69 | MSE=0.0143 LFC=285.0255 Cos=0.1375 Total=2.2512 | val_r=0.8470
  beta=0.010 E 70 | MSE=0.0150 LFC=330.8390 Cos=0.1465 Total=2.6764 | val_r=0.8506
  beta=0.010 E 71 | MSE=0.0131 LFC=265.8366 Cos=0.1274 Total=2.2057 | val_r=0.8560
  beta=0.010 E 72 | MSE=0.0202 LFC=212.3232 Cos=0.1772 Total=1.8215 | val_r=0.8560
  beta=0.010 E 73 | MSE=0.0201 LFC=211.0565 Cos=0.1782 Total=1.8530 | val_r=0.8560
  beta=0.010 E 74 | MSE=0.0132 LFC=212.7839 Cos=0.1275 Total=1.8985 | val_r=0.8553
  beta=0.010 E 75 | MSE=0.0125 LFC=267.9420 Cos=0.1247 Total=2.4365 | val_r=0.8522
  beta=0.010 E 76 | MSE=0.0133 LFC=297.3405 Cos=0.1322 Total=2.7621 | val_r=0.8538
  beta=0.010 E 77 | MSE=0.0127 LFC=260.8475 Cos=0.1242 Total=2.4771 | val_r=0.8559
  beta=0.010 E 78 | MSE=0.0133 LFC=200.1434 Cos=0.1294 Total=1.9476 | val_r=0.8560
