Epoch   1 | train_loss=0.1580 | val_loss=3.0103 | val_r=-0.3206±0.0517
Epoch   2 | train_loss=2.9550 | val_loss=2.3601 | val_r=0.0897±0.0326
Epoch   3 | train_loss=2.3211 | val_loss=0.9273 | val_r=0.3839±0.0264
Epoch   4 | train_loss=0.9133 | val_loss=0.1599 | val_r=0.4613±0.0273
Epoch   5 | train_loss=0.1598 | val_loss=0.4535 | val_r=0.4874±0.0368
Epoch   6 | train_loss=0.4545 | val_loss=0.7825 | val_r=0.4936±0.0399
Epoch   7 | train_loss=0.7814 | val_loss=0.7586 | val_r=0.4946±0.0402
Epoch   8 | train_loss=0.7582 | val_loss=0.5327 | val_r=0.4934±0.0392
Epoch   9 | train_loss=0.5339 | val_loss=0.2907 | val_r=0.4909±0.0375
Epoch  10 | train_loss=0.2930 | val_loss=0.1428 | val_r=0.4876±0.0355
Epoch  11 | train_loss=0.1469 | val_loss=0.1992 | val_r=0.4838±0.0333
Epoch  12 | train_loss=0.1975 | val_loss=0.3195 | val_r=0.4830±0.0327
Epoch  13 | train_loss=0.3160 | val_loss=0.3699 | val_r=0.4843±0.0330
Epoch  14 | train_loss=0.3660 | val_loss=0.3428 | val_r=0.4870±0.0341
Epoch  15 | train_loss=0.3393 | val_loss=0.2686 | val_r=0.4905±0.0356
Epoch  16 | train_loss=0.2660 | val_loss=0.1863 | val_r=0.4944±0.0374
Epoch  17 | train_loss=0.1848 | val_loss=0.1311 | val_r=0.4984±0.0394
Epoch  18 | train_loss=0.1308 | val_loss=0.1706 | val_r=0.5023±0.0414
Epoch  19 | train_loss=0.1721 | val_loss=0.2106 | val_r=0.5042±0.0424
Epoch  20 | train_loss=0.2124 | val_loss=0.2330 | val_r=0.5050±0.0429
Epoch  21 | train_loss=0.2349 | val_loss=0.2289 | val_r=0.5052±0.0430
Epoch  22 | train_loss=0.2308 | val_loss=0.2047 | val_r=0.5048±0.0429
Epoch  23 | train_loss=0.2064 | val_loss=0.1738 | val_r=0.5041±0.0425
Epoch  24 | train_loss=0.1752 | val_loss=0.1141 | val_r=0.5030±0.0419
Epoch  25 | train_loss=0.1153 | val_loss=0.1249 | val_r=0.5025±0.0416
Epoch  26 | train_loss=0.1248 | val_loss=0.1270 | val_r=0.5024±0.0415
Epoch  27 | train_loss=0.1268 | val_loss=0.1226 | val_r=0.5026±0.0417
Epoch  28 | train_loss=0.1226 | val_loss=0.1085 | val_r=0.5030±0.0420
Epoch  29 | train_loss=0.1098 | val_loss=0.1604 | val_r=0.5037±0.0425
Epoch  30 | train_loss=0.1617 | val_loss=0.1737 | val_r=0.5041±0.0428
Epoch  31 | train_loss=0.1752 | val_loss=0.1727 | val_r=0.5043±0.0429
Epoch  32 | train_loss=0.1741 | val_loss=0.1576 | val_r=0.5043±0.0429
Epoch  33 | train_loss=0.1590 | val_loss=0.0922 | val_r=0.5041±0.0427
Epoch  34 | train_loss=0.0986 | val_loss=0.1201 | val_r=0.5040±0.0425
Epoch  35 | train_loss=0.1202 | val_loss=0.1319 | val_r=0.5040±0.0424
Epoch  36 | train_loss=0.1318 | val_loss=0.1344 | val_r=0.5044±0.0426
Epoch  37 | train_loss=0.1344 | val_loss=0.1264 | val_r=0.5049±0.0431
Epoch  38 | train_loss=0.1265 | val_loss=0.1114 | val_r=0.5057±0.0438
Epoch  39 | train_loss=0.1120 | val_loss=0.1025 | val_r=0.5067±0.0447
Epoch  40 | train_loss=0.1060 | val_loss=0.1422 | val_r=0.5075±0.0454
Epoch  41 | train_loss=0.1439 | val_loss=0.1425 | val_r=0.5080±0.0458
Epoch  42 | train_loss=0.1441 | val_loss=0.1132 | val_r=0.5084±0.0460
Epoch  43 | train_loss=0.1158 | val_loss=0.0969 | val_r=0.5085±0.0459
Epoch  44 | train_loss=0.0987 | val_loss=0.1031 | val_r=0.5088±0.0461
Epoch  45 | train_loss=0.1042 | val_loss=0.0979 | val_r=0.5094±0.0466
Epoch  46 | train_loss=0.0995 | val_loss=0.0887 | val_r=0.5102±0.0476
Epoch  47 | train_loss=0.0927 | val_loss=0.0909 | val_r=0.5108±0.0481
Epoch  48 | train_loss=0.0946 | val_loss=0.0884 | val_r=0.5111±0.0482
Epoch  49 | train_loss=0.0915 | val_loss=0.0864 | val_r=0.5117±0.0489
Epoch  50 | train_loss=0.0895 | val_loss=0.0916 | val_r=0.5125±0.0498
Epoch  51 | train_loss=0.0950 | val_loss=0.3430 | val_r=0.5089±0.0443
Epoch  52 | train_loss=0.3425 | val_loss=0.2947 | val_r=0.5113±0.0464
Epoch  53 | train_loss=0.2941 | val_loss=0.1625 | val_r=0.5142±0.0498
Epoch  54 | train_loss=0.1623 | val_loss=0.0875 | val_r=0.5160±0.0533
Epoch  55 | train_loss=0.0906 | val_loss=0.1415 | val_r=0.5170±0.0553
Epoch  56 | train_loss=0.1432 | val_loss=0.1233 | val_r=0.5175±0.0564
Epoch  57 | train_loss=0.1253 | val_loss=0.1021 | val_r=0.5180±0.0570
Epoch  58 | train_loss=0.1027 | val_loss=0.1047 | val_r=0.5182±0.0580
Epoch  59 | train_loss=0.1051 | val_loss=0.0891 | val_r=0.5178±0.0593
Epoch  60 | train_loss=0.0911 | val_loss=0.1454 | val_r=0.5168±0.0608
Epoch  61 | train_loss=0.1474 | val_loss=0.1577 | val_r=0.5157±0.0619
Epoch  62 | train_loss=0.1597 | val_loss=0.1437 | val_r=0.5148±0.0627
Epoch  63 | train_loss=0.1457 | val_loss=0.0954 | val_r=0.5146±0.0632
Epoch  64 | train_loss=0.0977 | val_loss=0.1014 | val_r=0.5153±0.0633
Epoch  65 | train_loss=0.1023 | val_loss=0.1134 | val_r=0.5152±0.0637
Epoch  66 | train_loss=0.1141 | val_loss=0.1116 | val_r=0.5143±0.0645
Epoch  67 | train_loss=0.1120 | val_loss=0.0976 | val_r=0.5123±0.0659
Epoch  68 | train_loss=0.0987 | val_loss=0.0847 | val_r=0.5090±0.0676
Epoch  69 | train_loss=0.0863 | val_loss=0.0925 | val_r=0.5081±0.0686
Epoch  70 | train_loss=0.0944 | val_loss=0.0865 | val_r=0.5093±0.0688
Epoch  71 | train_loss=0.0881 | val_loss=0.0864 | val_r=0.5122±0.0677
Epoch  72 | train_loss=0.0880 | val_loss=0.0881 | val_r=0.5133±0.0669
Epoch  73 | train_loss=0.0895 | val_loss=0.0832 | val_r=0.5130±0.0671
Epoch  74 | train_loss=0.0851 | val_loss=0.0908 | val_r=0.5124±0.0678
Epoch  75 | train_loss=0.0929 | val_loss=0.0925 | val_r=0.5135±0.0669
Epoch  76 | train_loss=0.0945 | val_loss=0.0828 | val_r=0.5156±0.0644
Epoch  77 | train_loss=0.0849 | val_loss=0.0917 | val_r=0.5177±0.0601
Epoch  78 | train_loss=0.0932 | val_loss=0.0979 | val_r=0.5187±0.0583
Epoch  79 | train_loss=0.0995 | val_loss=0.0904 | val_r=0.5194±0.0590
Epoch  80 | train_loss=0.0922 | val_loss=0.0819 | val_r=0.5195±0.0615
Epoch  81 | train_loss=0.0840 | val_loss=0.0887 | val_r=0.5198±0.0625
Epoch  82 | train_loss=0.0907 | val_loss=0.0859 | val_r=0.5210±0.0618
Epoch  83 | train_loss=0.0880 | val_loss=0.0818 | val_r=0.5227±0.0597
Epoch  84 | train_loss=0.0837 | val_loss=0.0833 | val_r=0.5239±0.0589
Epoch  85 | train_loss=0.0849 | val_loss=0.0809 | val_r=0.5245±0.0593
Epoch  86 | train_loss=0.0828 | val_loss=0.0826 | val_r=0.5252±0.0595
Epoch  87 | train_loss=0.0846 | val_loss=0.0806 | val_r=0.5265±0.0584
Epoch  88 | train_loss=0.0826 | val_loss=0.0826 | val_r=0.5278±0.0569
Epoch  89 | train_loss=0.0844 | val_loss=0.0811 | val_r=0.5286±0.0567
Epoch  90 | train_loss=0.0829 | val_loss=0.0834 | val_r=0.5290±0.0572
Epoch  91 | train_loss=0.0856 | val_loss=0.0833 | val_r=0.5298±0.0567
Epoch  92 | train_loss=0.0854 | val_loss=0.0803 | val_r=0.5309±0.0553
Epoch  93 | train_loss=0.0822 | val_loss=0.0815 | val_r=0.5316±0.0545
Epoch  94 | train_loss=0.0831 | val_loss=0.0799 | val_r=0.5321±0.0548
Epoch  95 | train_loss=0.0818 | val_loss=0.0803 | val_r=0.5328±0.0547
Epoch  96 | train_loss=0.0823 | val_loss=0.0805 | val_r=0.5335±0.0536
Epoch  97 | train_loss=0.0823 | val_loss=0.0796 | val_r=0.5341±0.0536
Epoch  98 | train_loss=0.0815 | val_loss=0.0805 | val_r=0.5347±0.0539
Epoch  99 | train_loss=0.0824 | val_loss=0.0792 | val_r=0.5354±0.0533
Epoch 100 | train_loss=0.0811 | val_loss=0.0803 | val_r=0.5360±0.0525
Epoch 101 | train_loss=0.0822 | val_loss=0.0789 | val_r=0.5366±0.0528
Epoch 102 | train_loss=0.0809 | val_loss=0.0797 | val_r=0.5372±0.0531
Epoch 103 | train_loss=0.0816 | val_loss=0.0790 | val_r=0.5379±0.0522
Epoch 104 | train_loss=0.0809 | val_loss=0.0791 | val_r=0.5386±0.0519
Epoch 105 | train_loss=0.0810 | val_loss=0.0789 | val_r=0.5392±0.0524
Epoch 106 | train_loss=0.0808 | val_loss=0.0784 | val_r=0.5400±0.0519
Epoch 107 | train_loss=0.0802 | val_loss=0.0788 | val_r=0.5407±0.0514
Epoch 108 | train_loss=0.0804 | val_loss=0.0782 | val_r=0.5414±0.0516
Epoch 109 | train_loss=0.0799 | val_loss=0.0783 | val_r=0.5421±0.0515
Epoch 110 | train_loss=0.0801 | val_loss=0.0782 | val_r=0.5430±0.0508
Epoch 111 | train_loss=0.0798 | val_loss=0.0779 | val_r=0.5437±0.0507
Epoch 112 | train_loss=0.0796 | val_loss=0.0780 | val_r=0.5444±0.0507
Epoch 113 | train_loss=0.0798 | val_loss=0.0777 | val_r=0.5452±0.0500
Epoch 114 | train_loss=0.0794 | val_loss=0.0777 | val_r=0.5460±0.0496
Epoch 115 | train_loss=0.0794 | val_loss=0.0775 | val_r=0.5467±0.0495
Epoch 116 | train_loss=0.0794 | val_loss=0.0773 | val_r=0.5476±0.0489
Epoch 117 | train_loss=0.0787 | val_loss=0.0773 | val_r=0.5484±0.0483
Epoch 118 | train_loss=0.0789 | val_loss=0.0770 | val_r=0.5492±0.0481
Epoch 119 | train_loss=0.0787 | val_loss=0.0769 | val_r=0.5500±0.0476
Epoch 120 | train_loss=0.0788 | val_loss=0.0769 | val_r=0.5509±0.0469
Epoch 121 | train_loss=0.0784 | val_loss=0.0766 | val_r=0.5517±0.0466
Epoch 122 | train_loss=0.0781 | val_loss=0.0765 | val_r=0.5526±0.0462
Epoch 123 | train_loss=0.0780 | val_loss=0.0764 | val_r=0.5535±0.0455
Epoch 124 | train_loss=0.0779 | val_loss=0.0762 | val_r=0.5544±0.0451
Epoch 125 | train_loss=0.0779 | val_loss=0.0761 | val_r=0.5554±0.0448
Epoch 126 | train_loss=0.0778 | val_loss=0.0759 | val_r=0.5563±0.0442
Epoch 127 | train_loss=0.0776 | val_loss=0.0758 | val_r=0.5572±0.0438
Epoch 128 | train_loss=0.0773 | val_loss=0.0756 | val_r=0.5583±0.0435
Epoch 129 | train_loss=0.0772 | val_loss=0.0754 | val_r=0.5593±0.0429
Epoch 130 | train_loss=0.0771 | val_loss=0.0753 | val_r=0.5605±0.0423
Epoch 131 | train_loss=0.0769 | val_loss=0.0751 | val_r=0.5616±0.0418
Epoch 132 | train_loss=0.0768 | val_loss=0.0749 | val_r=0.5628±0.0411
Epoch 133 | train_loss=0.0765 | val_loss=0.0747 | val_r=0.5641±0.0403
Epoch 134 | train_loss=0.0765 | val_loss=0.0745 | val_r=0.5655±0.0397
Epoch 135 | train_loss=0.0763 | val_loss=0.0743 | val_r=0.5670±0.0388
Epoch 136 | train_loss=0.0761 | val_loss=0.0741 | val_r=0.5685±0.0379
Epoch 137 | train_loss=0.0758 | val_loss=0.0738 | val_r=0.5701±0.0370
Epoch 138 | train_loss=0.0755 | val_loss=0.0736 | val_r=0.5717±0.0359
Epoch 139 | train_loss=0.0753 | val_loss=0.0733 | val_r=0.5734±0.0351
Epoch 140 | train_loss=0.0749 | val_loss=0.0730 | val_r=0.5751±0.0341
Epoch 141 | train_loss=0.0746 | val_loss=0.0728 | val_r=0.5770±0.0331
Epoch 142 | train_loss=0.0747 | val_loss=0.0725 | val_r=0.5789±0.0321
